epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.1344,0.67286,0.59127,1,0.66553,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344
2,23.9792,0.62651,0.68254,1,0.60681,0.00321847,0.00107282,0.00321847,0.00107282,0.00321847,0.00107282,0.00321847,0.00107282
3,30.9201,0.58356,0.80952,1,0.48022,0.00480394,0.00160131,0.00480394,0.00160131,0.00480394,0.00160131,0.00480394,0.00160131
4,37.9845,0.4119,0.82937,1,0.30023,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
